Valor do sinal,Temperatura,Umidade,DataHora
-0.140625,0.274,0.69,2024-04-04 17:36:46
-0.08984375,0.274,0.69,2024-04-04 17:37:02
-0.18359375,0.274,0.69,2024-04-04 17:37:18
-0.19140625,0.274,0.69,2024-04-04 17:37:35
-0.060546875,0.274,0.69,2024-04-04 17:37:51
-0.0390625,0.274,0.69,2024-04-04 17:38:07
-0.162109375,0.274,0.69,2024-04-04 17:38:23
-0.134765625,0.274,0.69,2024-04-04 17:38:40
-0.01953125,0.274,0.69,2024-04-04 17:38:56
-0.0546875,0.274,0.69,2024-04-04 17:39:12
-0.150390625,0.274,0.69,2024-04-04 17:39:28
-0.115234375,0.274,0.69,2024-04-04 17:39:45
-0.033203125,0.274,0.69,2024-04-04 17:40:01
-0.064453125,0.274,0.69,2024-04-04 17:40:17
-0.150390625,0.274,0.69,2024-04-04 17:40:33
-0.103515625,0.274,0.69,2024-04-04 17:40:50
0.0,0.274,0.69,2024-04-04 17:41:06
-0.076171875,0.274,0.69,2024-04-04 17:41:22
-0.1328125,0.274,0.69,2024-04-04 17:41:38
-0.068359375,0.274,0.69,2024-04-04 17:41:55
0.01171875,0.274,0.69,2024-04-04 17:42:11
-0.046875,0.274,0.69,2024-04-04 17:42:27
-0.087890625,0.274,0.69,2024-04-04 17:42:43
0.00390625,0.274,0.69,2024-04-04 17:42:59
0.046875,0.274,0.69,2024-04-04 17:43:16
-0.064453125,0.274,0.69,2024-04-04 17:43:32
-0.0703125,0.274,0.69,2024-04-04 17:43:48
0.015625,0.274,0.69,2024-04-04 17:44:04
0.041015625,0.274,0.69,2024-04-04 17:44:21
-0.064453125,0.274,0.69,2024-04-04 17:44:37
-0.05859375,0.274,0.69,2024-04-04 17:44:53
0.046875,0.274,0.69,2024-04-04 17:45:09
0.025390625,0.274,0.69,2024-04-04 17:45:26
-0.0859375,0.274,0.69,2024-04-04 17:45:42
-0.037109375,0.274,0.69,2024-04-04 17:45:58
0.04296875,0.274,0.69,2024-04-04 17:46:15
-0.017578125,0.274,0.69,2024-04-04 17:46:31
-0.107421875,0.274,0.69,2024-04-04 17:46:47
-0.06640625,0.274,0.69,2024-04-04 17:47:03
0.029296875,0.274,0.69,2024-04-04 17:47:19
-0.0546875,0.274,0.69,2024-04-04 17:47:35
